match_id,match_venue,match_innings,batting_team,bowling_team,total_score,run_rate
335982.0,M Chinnaswamy Stadium,1.0,Kolkata Knight Riders,Royal Challengers Bangalore,61.0,10.166666666666666
335982.0,M Chinnaswamy Stadium,2.0,Royal Challengers Bangalore,Kolkata Knight Riders,26.0,4.333333333333333
335983.0,"Punjab Cricket Association Stadium, Mohali",1.0,Chennai Super Kings,Kings XI Punjab,53.0,8.833333333333334
335983.0,"Punjab Cricket Association Stadium, Mohali",2.0,Kings XI Punjab,Chennai Super Kings,56.0,9.333333333333334
335984.0,Feroz Shah Kotla,1.0,Rajasthan Royals,Delhi Daredevils,40.0,6.666666666666667
335984.0,Feroz Shah Kotla,2.0,Delhi Daredevils,Rajasthan Royals,55.0,9.166666666666666
335986.0,Eden Gardens,1.0,Deccan Chargers,Kolkata Knight Riders,39.0,6.5
335986.0,Eden Gardens,2.0,Kolkata Knight Riders,Deccan Chargers,26.0,4.333333333333333
335985.0,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,47.0,7.833333333333333
335985.0,Wankhede Stadium,2.0,Royal Challengers Bangalore,Mumbai Indians,40.0,6.666666666666667
335987.0,Sawai Mansingh Stadium,1.0,Kings XI Punjab,Rajasthan Royals,54.0,9.0
335987.0,Sawai Mansingh Stadium,2.0,Rajasthan Royals,Kings XI Punjab,53.0,8.833333333333334
335988.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Deccan Chargers,Delhi Daredevils,25.0,4.166666666666667
335988.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Delhi Daredevils,Deccan Chargers,44.0,7.333333333333333
335989.0,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,Mumbai Indians,52.0,8.666666666666666
335989.0,"MA Chidambaram Stadium, Chepauk",2.0,Mumbai Indians,Chennai Super Kings,52.0,8.666666666666666
335990.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Deccan Chargers,Rajasthan Royals,57.0,9.5
335990.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Rajasthan Royals,Deccan Chargers,73.0,12.166666666666666
335991.0,"Punjab Cricket Association Stadium, Mohali",1.0,Kings XI Punjab,Mumbai Indians,56.0,9.333333333333334
335991.0,"Punjab Cricket Association Stadium, Mohali",2.0,Mumbai Indians,Kings XI Punjab,39.0,6.5
335993.0,"MA Chidambaram Stadium, Chepauk",1.0,Kolkata Knight Riders,Chennai Super Kings,61.0,10.166666666666666
335993.0,"MA Chidambaram Stadium, Chepauk",2.0,Chennai Super Kings,Kolkata Knight Riders,45.0,7.5
335992.0,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,Rajasthan Royals,57.0,9.5
335992.0,M Chinnaswamy Stadium,2.0,Rajasthan Royals,Royal Challengers Bangalore,45.0,7.5
335994.0,Dr DY Patil Sports Academy,1.0,Mumbai Indians,Deccan Chargers,27.0,4.5
335994.0,Dr DY Patil Sports Academy,2.0,Deccan Chargers,Mumbai Indians,59.0,9.833333333333334
