,match_id,match_venue,match_innings,batting_team,bowling_team,boundry_runs,wickets fallen,run_rate,total_score,Stadium_Category
0,335982.0,M Chinnaswamy Stadium,1.0,Kolkata Knight Riders,Royal Challengers Bangalore,46.0,1.0,10.166666666666666,61.0,Low scoring
1,335982.0,M Chinnaswamy Stadium,2.0,Royal Challengers Bangalore,Kolkata Knight Riders,6.0,4.0,4.333333333333333,26.0,Low scoring
2,335983.0,"Punjab Cricket Association Stadium, Mohali",1.0,Chennai Super Kings,Kings XI Punjab,42.0,1.0,8.833333333333334,53.0,Low scoring
3,335983.0,"Punjab Cricket Association Stadium, Mohali",2.0,Kings XI Punjab,Chennai Super Kings,40.0,1.0,9.333333333333334,56.0,Low scoring
4,335984.0,Feroz Shah Kotla,1.0,Rajasthan Royals,Delhi Daredevils,30.0,2.0,6.666666666666667,40.0,Low scoring
5,335984.0,Feroz Shah Kotla,2.0,Delhi Daredevils,Rajasthan Royals,46.0,1.0,9.166666666666666,55.0,Low scoring
6,335986.0,Eden Gardens,1.0,Deccan Chargers,Kolkata Knight Riders,20.0,2.0,6.5,39.0,Low scoring
7,335986.0,Eden Gardens,2.0,Kolkata Knight Riders,Deccan Chargers,8.0,3.0,4.333333333333333,26.0,Low scoring
8,335985.0,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,34.0,3.0,7.833333333333333,47.0,Low scoring
9,335985.0,Wankhede Stadium,2.0,Royal Challengers Bangalore,Mumbai Indians,24.0,1.0,6.666666666666667,40.0,Low scoring
10,335987.0,Sawai Mansingh Stadium,1.0,Kings XI Punjab,Rajasthan Royals,50.0,1.0,9.0,54.0,Low scoring
11,335987.0,Sawai Mansingh Stadium,2.0,Rajasthan Royals,Kings XI Punjab,36.0,3.0,8.833333333333334,53.0,Low scoring
12,335988.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Deccan Chargers,Delhi Daredevils,14.0,2.0,4.166666666666667,25.0,Low scoring
13,335988.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Delhi Daredevils,Deccan Chargers,28.0,1.0,7.333333333333333,44.0,Low scoring
14,335989.0,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,Mumbai Indians,38.0,2.0,8.666666666666666,52.0,Low scoring
15,335989.0,"MA Chidambaram Stadium, Chepauk",2.0,Mumbai Indians,Chennai Super Kings,34.0,2.0,8.666666666666666,52.0,Low scoring
16,335990.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Deccan Chargers,Rajasthan Royals,50.0,2.0,9.5,57.0,Low scoring
17,335990.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Rajasthan Royals,Deccan Chargers,62.0,1.0,12.166666666666666,73.0,Low scoring
18,335991.0,"Punjab Cricket Association Stadium, Mohali",1.0,Kings XI Punjab,Mumbai Indians,34.0,1.0,9.333333333333334,56.0,Low scoring
19,335991.0,"Punjab Cricket Association Stadium, Mohali",2.0,Mumbai Indians,Kings XI Punjab,26.0,2.0,6.5,39.0,Low scoring
20,335993.0,"MA Chidambaram Stadium, Chepauk",1.0,Kolkata Knight Riders,Chennai Super Kings,50.0,3.0,10.166666666666666,61.0,Low scoring
21,335993.0,"MA Chidambaram Stadium, Chepauk",2.0,Chennai Super Kings,Kolkata Knight Riders,28.0,0.0,7.5,45.0,Low scoring
22,335992.0,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,Rajasthan Royals,50.0,2.0,9.5,57.0,Low scoring
23,335992.0,M Chinnaswamy Stadium,2.0,Rajasthan Royals,Royal Challengers Bangalore,32.0,2.0,7.5,45.0,Low scoring
24,335994.0,Dr DY Patil Sports Academy,1.0,Mumbai Indians,Deccan Chargers,16.0,3.0,4.5,27.0,Low scoring
25,335994.0,Dr DY Patil Sports Academy,2.0,Deccan Chargers,Mumbai Indians,48.0,0.0,9.833333333333334,59.0,Low scoring
26,335995.0,"Punjab Cricket Association Stadium, Mohali",1.0,Delhi Daredevils,Kings XI Punjab,28.0,3.0,7.5,45.0,Low scoring
27,335995.0,"Punjab Cricket Association Stadium, Mohali",2.0,Kings XI Punjab,Delhi Daredevils,40.0,2.0,9.166666666666666,55.0,Low scoring
28,335996.0,M Chinnaswamy Stadium,1.0,Chennai Super Kings,Royal Challengers Bangalore,20.0,1.0,6.0,36.0,Low scoring
29,335996.0,M Chinnaswamy Stadium,2.0,Royal Challengers Bangalore,Chennai Super Kings,28.0,1.0,7.5,45.0,Low scoring
30,335997.0,Eden Gardens,1.0,Kolkata Knight Riders,Mumbai Indians,30.0,3.0,6.666666666666667,40.0,Low scoring
31,335997.0,Eden Gardens,2.0,Mumbai Indians,Kolkata Knight Riders,34.0,3.0,6.333333333333333,38.0,Low scoring
32,335998.0,Feroz Shah Kotla,1.0,Delhi Daredevils,Royal Challengers Bangalore,42.0,1.0,9.666666666666666,58.0,Low scoring
33,335998.0,Feroz Shah Kotla,2.0,Royal Challengers Bangalore,Delhi Daredevils,38.0,3.0,9.166666666666666,55.0,Low scoring
34,336000.0,Sawai Mansingh Stadium,1.0,Rajasthan Royals,Kolkata Knight Riders,30.0,1.0,7.5,45.0,Low scoring
35,336000.0,Sawai Mansingh Stadium,2.0,Kolkata Knight Riders,Rajasthan Royals,32.0,2.0,8.5,51.0,Low scoring
36,335999.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Deccan Chargers,Kings XI Punjab,28.0,1.0,8.333333333333334,50.0,Low scoring
37,335999.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Kings XI Punjab,Deccan Chargers,24.0,1.0,6.833333333333333,41.0,Low scoring
38,336001.0,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,Delhi Daredevils,28.0,1.0,7.833333333333333,47.0,Low scoring
39,336001.0,"MA Chidambaram Stadium, Chepauk",2.0,Delhi Daredevils,Chennai Super Kings,46.0,0.0,10.666666666666666,64.0,Low scoring
40,336003.0,"Punjab Cricket Association Stadium, Mohali",1.0,Kings XI Punjab,Kolkata Knight Riders,36.0,1.0,8.166666666666666,49.0,Low scoring
41,336003.0,"Punjab Cricket Association Stadium, Mohali",2.0,Kolkata Knight Riders,Kings XI Punjab,18.0,4.0,5.166666666666667,31.0,Low scoring
42,336034.0,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,Deccan Chargers,28.0,1.0,7.666666666666667,46.0,Low scoring
43,336034.0,M Chinnaswamy Stadium,2.0,Deccan Chargers,Royal Challengers Bangalore,20.0,2.0,5.5,33.0,Low scoring
44,336005.0,Sawai Mansingh Stadium,1.0,Chennai Super Kings,Rajasthan Royals,24.0,4.0,6.333333333333333,38.0,Low scoring
45,336005.0,Sawai Mansingh Stadium,2.0,Rajasthan Royals,Chennai Super Kings,32.0,0.0,7.333333333333333,44.0,Low scoring
46,336004.0,Dr DY Patil Sports Academy,1.0,Mumbai Indians,Delhi Daredevils,38.0,2.0,8.333333333333334,50.0,Low scoring
47,336004.0,Dr DY Patil Sports Academy,2.0,Delhi Daredevils,Mumbai Indians,24.0,2.0,6.166666666666667,37.0,Low scoring
